dataset,seed_req,seed_ckpt,seed_dir,case_id,selected_case_name,noise_name,case_tag,split,files_total,files_done,files_skipped,n_boxes,mean_iou_noisy,mean_iou_refined,delta_iou,best_pt,out_dir
kitti,42,42,seed042,"__home__ISW__project__experiments_ablation(scale_side, start=noise, 생성규칙 컨트롤)-(10)__weights__kitti__set_densenet_noisy2clean__absn_0010_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd10_inv1_jit0p03_cap60",baseline_both_31_absn10_ctx1_dist0_E1,labels_scale_0.6,scale_0.6,train,10,10,0,38,0.37844223420329887,0.5941402977742739,0.21569806357097507,"/home/ISW/project/experiments_ablation(scale_side, start=noise, 생성규칙 컨트롤)-(10)/weights/kitti/set_densenet_noisy2clean/absn_0010_ctx1/d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd10_inv1_jit0p03_cap60/best.pt","experiments_ablation(scale_side, start=noise, 생성규칙 컨트롤)-(10)/refines/seed042/kitti/__home__ISW__project__experiments_ablation(scale_side, start=noise, 생성규칙 컨트롤)-(10)__weights__kitti__set_densenet_noisy2clean__absn_0010_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd10_inv1_jit0p03_cap60/labels_scale_0.6/train"
kitti,42,42,seed042,"__home__ISW__project__experiments_ablation(scale_side, start=noise, 생성규칙 컨트롤)-(10)__weights__kitti__set_densenet_noisy2clean__absn_0010_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd10_inv1_jit0p03_cap60",baseline_both_31_absn10_ctx1_dist0_E1,labels_scale_0.6,scale_0.6,val,10,10,0,24,0.3453555421081709,0.5910946335274329,0.245739091419262,"/home/ISW/project/experiments_ablation(scale_side, start=noise, 생성규칙 컨트롤)-(10)/weights/kitti/set_densenet_noisy2clean/absn_0010_ctx1/d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd10_inv1_jit0p03_cap60/best.pt","experiments_ablation(scale_side, start=noise, 생성규칙 컨트롤)-(10)/refines/seed042/kitti/__home__ISW__project__experiments_ablation(scale_side, start=noise, 생성규칙 컨트롤)-(10)__weights__kitti__set_densenet_noisy2clean__absn_0010_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd10_inv1_jit0p03_cap60/labels_scale_0.6/val"
kitti,42,42,seed042,"__home__ISW__project__experiments_ablation(scale_side, start=noise, 생성규칙 컨트롤)-(10)__weights__kitti__set_densenet_noisy2clean__absn_0010_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd10_inv1_jit0p03_cap60",baseline_both_31_absn10_ctx1_dist0_E1,labels_scale_0.7,scale_0.7,train,10,10,0,38,0.4865931230715013,0.6319174389291039,0.14532431585760253,"/home/ISW/project/experiments_ablation(scale_side, start=noise, 생성규칙 컨트롤)-(10)/weights/kitti/set_densenet_noisy2clean/absn_0010_ctx1/d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd10_inv1_jit0p03_cap60/best.pt","experiments_ablation(scale_side, start=noise, 생성규칙 컨트롤)-(10)/refines/seed042/kitti/__home__ISW__project__experiments_ablation(scale_side, start=noise, 생성규칙 컨트롤)-(10)__weights__kitti__set_densenet_noisy2clean__absn_0010_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd10_inv1_jit0p03_cap60/labels_scale_0.7/train"
kitti,42,42,seed042,"__home__ISW__project__experiments_ablation(scale_side, start=noise, 생성규칙 컨트롤)-(10)__weights__kitti__set_densenet_noisy2clean__absn_0010_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd10_inv1_jit0p03_cap60",baseline_both_31_absn10_ctx1_dist0_E1,labels_scale_0.7,scale_0.7,val,10,10,0,24,0.4680199327166867,0.6351952222332341,0.1671752895165474,"/home/ISW/project/experiments_ablation(scale_side, start=noise, 생성규칙 컨트롤)-(10)/weights/kitti/set_densenet_noisy2clean/absn_0010_ctx1/d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd10_inv1_jit0p03_cap60/best.pt","experiments_ablation(scale_side, start=noise, 생성규칙 컨트롤)-(10)/refines/seed042/kitti/__home__ISW__project__experiments_ablation(scale_side, start=noise, 생성규칙 컨트롤)-(10)__weights__kitti__set_densenet_noisy2clean__absn_0010_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd10_inv1_jit0p03_cap60/labels_scale_0.7/val"
kitti,42,42,seed042,"__home__ISW__project__experiments_ablation(scale_side, start=noise, 생성규칙 컨트롤)-(10)__weights__kitti__set_densenet_noisy2clean__absn_0010_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd10_inv1_jit0p03_cap60",baseline_both_31_absn10_ctx1_dist0_E1,labels_scale_0.8,scale_0.8,train,10,10,0,38,0.6091403189901539,0.6374542138523067,0.028313894862152796,"/home/ISW/project/experiments_ablation(scale_side, start=noise, 생성규칙 컨트롤)-(10)/weights/kitti/set_densenet_noisy2clean/absn_0010_ctx1/d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd10_inv1_jit0p03_cap60/best.pt","experiments_ablation(scale_side, start=noise, 생성규칙 컨트롤)-(10)/refines/seed042/kitti/__home__ISW__project__experiments_ablation(scale_side, start=noise, 생성규칙 컨트롤)-(10)__weights__kitti__set_densenet_noisy2clean__absn_0010_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd10_inv1_jit0p03_cap60/labels_scale_0.8/train"
kitti,42,42,seed042,"__home__ISW__project__experiments_ablation(scale_side, start=noise, 생성규칙 컨트롤)-(10)__weights__kitti__set_densenet_noisy2clean__absn_0010_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd10_inv1_jit0p03_cap60",baseline_both_31_absn10_ctx1_dist0_E1,labels_scale_0.8,scale_0.8,val,10,10,0,24,0.607338170081196,0.621561056711479,0.014222886630283075,"/home/ISW/project/experiments_ablation(scale_side, start=noise, 생성규칙 컨트롤)-(10)/weights/kitti/set_densenet_noisy2clean/absn_0010_ctx1/d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd10_inv1_jit0p03_cap60/best.pt","experiments_ablation(scale_side, start=noise, 생성규칙 컨트롤)-(10)/refines/seed042/kitti/__home__ISW__project__experiments_ablation(scale_side, start=noise, 생성규칙 컨트롤)-(10)__weights__kitti__set_densenet_noisy2clean__absn_0010_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd10_inv1_jit0p03_cap60/labels_scale_0.8/val"
kitti,42,42,seed042,"__home__ISW__project__experiments_ablation(scale_side, start=noise, 생성규칙 컨트롤)-(10)__weights__kitti__set_densenet_noisy2clean__absn_0010_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd10_inv1_jit0p03_cap60",baseline_both_31_absn10_ctx1_dist0_E1,labels_scale_0.9,scale_0.9,train,10,10,0,38,0.7290705045558575,0.6536782523366423,-0.0753922522192152,"/home/ISW/project/experiments_ablation(scale_side, start=noise, 생성규칙 컨트롤)-(10)/weights/kitti/set_densenet_noisy2clean/absn_0010_ctx1/d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd10_inv1_jit0p03_cap60/best.pt","experiments_ablation(scale_side, start=noise, 생성규칙 컨트롤)-(10)/refines/seed042/kitti/__home__ISW__project__experiments_ablation(scale_side, start=noise, 생성규칙 컨트롤)-(10)__weights__kitti__set_densenet_noisy2clean__absn_0010_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd10_inv1_jit0p03_cap60/labels_scale_0.9/train"
kitti,42,42,seed042,"__home__ISW__project__experiments_ablation(scale_side, start=noise, 생성규칙 컨트롤)-(10)__weights__kitti__set_densenet_noisy2clean__absn_0010_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd10_inv1_jit0p03_cap60",baseline_both_31_absn10_ctx1_dist0_E1,labels_scale_0.9,scale_0.9,val,10,10,0,24,0.7454591773661443,0.6445915724438186,-0.10086760492232567,"/home/ISW/project/experiments_ablation(scale_side, start=noise, 생성규칙 컨트롤)-(10)/weights/kitti/set_densenet_noisy2clean/absn_0010_ctx1/d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd10_inv1_jit0p03_cap60/best.pt","experiments_ablation(scale_side, start=noise, 생성규칙 컨트롤)-(10)/refines/seed042/kitti/__home__ISW__project__experiments_ablation(scale_side, start=noise, 생성규칙 컨트롤)-(10)__weights__kitti__set_densenet_noisy2clean__absn_0010_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd10_inv1_jit0p03_cap60/labels_scale_0.9/val"
kitti,42,42,seed042,"__home__ISW__project__experiments_ablation(scale_side, start=noise, 생성규칙 컨트롤)-(10)__weights__kitti__set_densenet_noisy2clean__absn_0010_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd10_inv1_jit0p03_cap60",baseline_both_31_absn10_ctx1_dist0_E1,labels_scale_1.1,scale_1.1,train,10,10,0,38,0.76430588851108,0.6478470971671806,-0.11645879134389933,"/home/ISW/project/experiments_ablation(scale_side, start=noise, 생성규칙 컨트롤)-(10)/weights/kitti/set_densenet_noisy2clean/absn_0010_ctx1/d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd10_inv1_jit0p03_cap60/best.pt","experiments_ablation(scale_side, start=noise, 생성규칙 컨트롤)-(10)/refines/seed042/kitti/__home__ISW__project__experiments_ablation(scale_side, start=noise, 생성규칙 컨트롤)-(10)__weights__kitti__set_densenet_noisy2clean__absn_0010_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd10_inv1_jit0p03_cap60/labels_scale_1.1/train"
kitti,42,42,seed042,"__home__ISW__project__experiments_ablation(scale_side, start=noise, 생성규칙 컨트롤)-(10)__weights__kitti__set_densenet_noisy2clean__absn_0010_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd10_inv1_jit0p03_cap60",baseline_both_31_absn10_ctx1_dist0_E1,labels_scale_1.1,scale_1.1,val,10,10,0,24,0.8013919025593516,0.6867707964724209,-0.11462110608693073,"/home/ISW/project/experiments_ablation(scale_side, start=noise, 생성규칙 컨트롤)-(10)/weights/kitti/set_densenet_noisy2clean/absn_0010_ctx1/d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd10_inv1_jit0p03_cap60/best.pt","experiments_ablation(scale_side, start=noise, 생성규칙 컨트롤)-(10)/refines/seed042/kitti/__home__ISW__project__experiments_ablation(scale_side, start=noise, 생성규칙 컨트롤)-(10)__weights__kitti__set_densenet_noisy2clean__absn_0010_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd10_inv1_jit0p03_cap60/labels_scale_1.1/val"
